@timestamp,RequestId,Duration,Billed Duration,Memory Size,Max Memory Used,Init Duration
2024-05-31 13:54:09.955,3e179abf-ca61-4243-941b-a5293edc5266,2.33,3,512,81,
2024-05-31 13:54:09.954,edce9bc0-33db-4ce6-a882-29319548d4fa,3.28,4,512,81,
2024-05-31 13:54:09.910,76bf231e-cc0c-4ab2-9130-517dbe077222,2.62,3,512,81,
2024-05-31 13:54:09.899,c41022af-2a32-4bda-88d6-b025d0604a4a,2.13,3,512,81,
2024-05-31 13:54:09.893,a45094a1-e731-4bde-811f-b5410b7d9b45,2.73,3,512,81,
2024-05-31 13:54:09.848,586d44c8-957f-45ae-a5ae-cbec96edaeb2,2.28,3,512,81,
2024-05-31 13:54:09.839,4c318a36-8386-4b85-9067-111232982e80,2.40,3,512,81,
2024-05-31 13:54:09.808,d3327586-a083-4d2d-9c7f-cbc865af0986,4.24,5,512,81,
2024-05-31 13:54:09.786,1021f111-9650-4fd5-ae7a-0c4bd51326e5,2.39,3,512,81,
2024-05-31 13:54:09.749,7d01b0fa-2e19-4f40-9220-7beb142a8a58,3.13,4,512,81,
2024-05-31 13:54:09.745,d5f034f4-fe37-45b7-9aca-5a9f944d9d54,2.27,3,512,81,
2024-05-31 13:54:09.714,3b110728-6c08-4c8e-8634-8150176d4eb9,2.30,3,512,81,
2024-05-31 13:54:09.681,9bdf58ac-e074-4fc8-a5d3-17a90a4f8a50,2.27,3,512,81,
2024-05-31 13:54:09.660,cad64523-5a13-424b-a77b-7ab791aabb32,2.17,3,512,81,
2024-05-31 13:54:09.640,338283b6-efcf-49c2-984f-06a02d894ebe,2.39,3,512,81,
2024-05-31 13:54:09.614,debd0def-02b4-496d-95bb-813cf7c52a95,2.34,3,512,81,
2024-05-31 13:54:09.599,b6ad03ad-cdb9-44e1-99fe-719e0fd4cbad,2.96,3,512,81,
2024-05-31 13:54:09.571,f266540e-3aec-4ba0-88ad-ba47208046b9,2.27,3,512,81,
2024-05-31 13:54:09.565,bc71a77b-40b7-44ff-aec6-3371a6e0c3bf,2.42,3,512,81,
2024-05-31 13:54:09.515,4ec9b489-164b-4baf-b9c7-4740eaa43780,2.25,3,512,81,
2024-05-31 13:54:09.498,fd5e9a10-8cc8-4789-9325-6a095a1c7a8d,3.28,4,512,81,
2024-05-31 13:54:09.470,0b6f007d-8072-45f3-9274-aca2322ced78,2.37,3,512,81,
2024-05-31 13:54:09.463,711f5cae-ef7f-461b-87e3-e3a05a949447,3.05,4,512,81,
2024-05-31 13:54:09.461,a5ad5eef-03c1-4411-ab78-6cb692f2964a,2.50,3,512,81,
2024-05-31 13:54:09.410,84b34e98-b723-4929-9432-0017976a41b2,2.49,3,512,81,
2024-05-31 13:54:09.387,cab09871-92ea-4424-9c8b-9212b41c47fc,2.56,3,512,81,
2024-05-31 13:54:09.352,4d9f4c42-d075-4b06-9112-dfbf1338b52d,2.81,3,512,81,
2024-05-31 13:54:09.329,f7cd151f-0102-415b-a1c1-d082db8e0de6,2.29,3,512,81,
2024-05-31 13:54:09.324,d544ac37-358d-4289-ba5c-ace6c032fb83,2.18,3,512,81,
2024-05-31 13:54:09.309,76618e16-46a7-4b90-bd36-9bcf4ea8aa97,2.21,3,512,81,
2024-05-31 13:54:09.307,79d712e6-45dd-4bb5-a514-7ac7383948e0,2.42,3,512,81,
2024-05-31 13:54:09.243,e6d2fbc2-f2cf-4f89-8900-2377f3f84aa6,2.16,3,512,81,
2024-05-31 13:54:09.227,6b09b916-78bf-4f70-a6d4-cf2ee3cbf5df,2.55,3,512,81,
2024-05-31 13:54:09.221,84da2846-ef4c-4a7a-a580-6e397048612e,2.21,3,512,81,
2024-05-31 13:54:09.206,ffeb62c3-a680-4930-9517-99fd269199ca,2.17,3,512,81,
2024-05-31 13:54:09.199,eccf5186-3d70-4e6e-abf9-3f23806e5920,2.42,3,512,81,
2024-05-31 13:54:09.154,d4b06de3-0d0f-413c-924d-e52824d4dc38,3.00,3,512,81,
2024-05-31 13:54:09.111,e6d23557-60a2-4323-9911-607efb55949c,2.88,3,512,81,
2024-05-31 13:54:09.088,bdfb4920-e0e1-4fff-959e-8fc3f5272c96,2.25,3,512,81,
